type,content
paragraph,"The University of Oxford is the setting for numerous works of fiction.   Oxford was mentioned in fiction as early as 1400 when Chaucer, in Canterbury Tales, referred to a ""Clerk [student] of Oxenford"".[306]   Mortimer Proctor argues the first campus novel was The Adventures of Oxymel Classic, Esq; Once an Oxford Scholar  (1768).[307] It is filled with violence and debauchery, with obnoxious, foolish dons becoming easy prey for cunning students.[308] Proctor argues that by 1900, ""novels about Oxford and Cambridge were so numerous that they clearly represent a striking literary phenomenon.""[309] By 1989, 533 novels based in Oxford had been identified and the number continues to rise.[310]"
paragraph,"Famous literary works range from Brideshead Revisited by Evelyn Waugh, which in 1981 was adapted as a television serial, to the trilogy His Dark Materials by Philip Pullman, which features an alternate-reality version of the university and was adapted for film in 2007 and as a BBC television series in 2019."
paragraph,Other notable examples include:
paragraph,Notable non-fiction works on Oxford include Oxford by Jan Morris.[312]
paragraph,"The university is parodied in Terry Pratchett's Discworld series with ""Unseen University"" and ""Brazeneck College"" (in reference to Brasenose College)."
link,#bodyContent
link,/wiki/Main_Page
link,/wiki/Wikipedia:Contents
link,/wiki/Portal:Current_events
link,/wiki/Special:Random
link,/wiki/Wikipedia:About
link,//en.wikipedia.org/wiki/Wikipedia:Contact_us
link,https://donate.wikimedia.org/wiki/Special:FundraiserRedirector?utm_source=donate&utm_medium=sidebar&utm_campaign=C13_en.wikipedia.org&uselang=en
link,/wiki/Help:Contents
link,/wiki/Help:Introduction
link,/wiki/Wikipedia:Community_portal
link,/wiki/Special:RecentChanges
link,/wiki/Wikipedia:File_upload_wizard
link,/wiki/Main_Page
link,/wiki/Special:Search
link,/w/index.php?title=Special:CreateAccount&returnto=University+of+Oxford
link,/w/index.php?title=Special:UserLogin&returnto=University+of+Oxford
link,/w/index.php?title=Special:CreateAccount&returnto=University+of+Oxford
link,/w/index.php?title=Special:UserLogin&returnto=University+of+Oxford
link,/wiki/Help:Introduction
link,/wiki/Special:MyContributions
link,/wiki/Special:MyTalk
link,#
link,#History
link,#Founding
link,#Renaissance_period
link,#Modern_period
link,#Students
link,#Reforms
link,#Women's_education
link,#Buildings_and_sites
link,#Map
link,#Main_sites
link,#Parks
link,#Organisation
link,#Central_governance
link,#Colleges
link,#Finances
link,#Funding_criticisms
link,#Affiliations
link,#Academic_profile
link,#Admission
link,#Teaching_and_degrees
link,#Scholarships_and_financial_support
link,#Libraries
link,#Museums
link,#Publishing
link,#Reputation_and_ranking
link,#Student_life
link,#Traditions
link,#Clubs_and_societies
link,#Student_union_and_common_rooms
link,#Notable_alumni
link,#Politics
link,#Law
link,#Mathematics_and_sciences
link,"#Literature,_music,_and_drama"
link,#Religion
link,#Philosophy
link,#Sport
link,#Oxford_in_literature_and_popular_media
link,#See_also
link,#Notes
link,#References
link,#Citations
link,#Sources
link,#Histories
link,#Popular_studies_and_collections
link,#Guide_books
link,#External_links
link,https://af.wikipedia.org/wiki/Universiteit_van_Oxford
link,https://am.wikipedia.org/wiki/%E1%8B%A9%E1%8A%92%E1%89%A8%E1%88%AD%E1%88%B5%E1%89%B2_%E1%8A%A6%E1%8D%8D_%E1%8A%A6%E1%8A%AD%E1%88%B5%E1%8D%8E%E1%88%AD%E1%8B%B5
link,https://ang.wikipedia.org/wiki/Eormengyld_Oxnafordes
link,https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_%D8%A3%D9%83%D8%B3%D9%81%D9%88%D8%B1%D8%AF
link,https://an.wikipedia.org/wiki/Universidat_d%27Oxford
link,https://as.wikipedia.org/wiki/%E0%A6%85%E0%A6%95%E0%A7%8D%E0%A6%B8%E0%A6%AB%27%E0%A7%B0%E0%A7%8D%E0%A6%A1_%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2%E0%A6%AF%E0%A6%BC
link,https://ast.wikipedia.org/wiki/Universid%C3%A1_d%27Oxford
link,https://az.wikipedia.org/wiki/Oksford_Universiteti
link,https://azb.wikipedia.org/wiki/%D8%A2%DA%A9%D8%B3%D9%81%D9%88%D8%B1%D8%AF_%D8%A8%DB%8C%D9%84%DB%8C%D9%85%E2%80%8C%DB%8C%D9%88%D8%B1%D8%AF%D9%88
link,https://ban.wikipedia.org/wiki/Univ%C3%A9rsitas_Oxford
link,https://bn.wikipedia.org/wiki/%E0%A6%85%E0%A6%95%E0%A7%8D%E0%A6%B8%E0%A6%AB%E0%A7%8B%E0%A6%B0%E0%A7%8D%E0%A6%A1_%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2%E0%A6%AF%E0%A6%BC
link,https://zh-min-nan.wikipedia.org/wiki/Oxford_T%C4%81i-ha%CC%8Dk
link,https://ba.wikipedia.org/wiki/%D0%9E%D0%BA%D1%81%D1%84%D0%BE%D1%80%D0%B4_%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%D1%8B
link,https://be.wikipedia.org/wiki/%D0%9E%D0%BA%D1%81%D1%84%D0%B0%D1%80%D0%B4%D1%81%D0%BA%D1%96_%D1%9E%D0%BD%D1%96%D0%B2%D0%B5%D1%80%D1%81%D1%96%D1%82%D1%8D%D1%82
link,https://be-tarask.wikipedia.org/wiki/%D0%9E%D0%BA%D1%81%D1%84%D0%B0%D1%80%D0%B4%D0%B7%D0%BA%D1%96_%D1%9E%D0%BD%D1%96%D0%B2%D1%8D%D1%80%D1%81%D1%8B%D1%82%D1%8D%D1%82
link,https://bg.wikipedia.org/wiki/%D0%9E%D0%BA%D1%81%D1%84%D0%BE%D1%80%D0%B4%D1%81%D0%BA%D0%B8_%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82
link,https://bs.wikipedia.org/wiki/Univerzitet_u_Oxfordu
link,https://br.wikipedia.org/wiki/Skol-veur_Oxford
link,https://ca.wikipedia.org/wiki/Universitat_d%27Oxford
link,https://cv.wikipedia.org/wiki/%D0%9E%D0%BA%D1%81%D1%84%D0%BE%D1%80%D0%B4_%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%87%C4%95
link,https://cs.wikipedia.org/wiki/Oxfordsk%C3%A1_univerzita
link,https://cy.wikipedia.org/wiki/Prifysgol_Rhydychen
link,https://da.wikipedia.org/wiki/University_of_Oxford
link,https://ary.wikipedia.org/wiki/%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_%D8%AF_%D8%A3%D9%88%D9%83%D8%B3%D9%81%D9%88%D8%B1%D8%AF
link,https://de.wikipedia.org/wiki/University_of_Oxford
link,https://dv.wikipedia.org/wiki/%DE%87%DE%AE%DE%86%DE%B0%DE%90%DE%B0%DE%8A%DE%AF%DE%83%DE%91%DE%B0_%DE%94%DE%AA%DE%82%DE%A8%DE%88%DE%A6%DE%83%DE%90%DE%A8%DE%93%DE%A9
link,https://et.wikipedia.org/wiki/Oxfordi_%C3%9Clikool
link,https://el.wikipedia.org/wiki/%CE%A0%CE%B1%CE%BD%CE%B5%CF%80%CE%B9%CF%83%CF%84%CE%AE%CE%BC%CE%B9%CE%BF_%CF%84%CE%B7%CF%82_%CE%9F%CE%BE%CF%86%CF%8C%CF%81%CE%B4%CE%B7%CF%82
link,https://es.wikipedia.org/wiki/Universidad_de_Oxford
link,https://eo.wikipedia.org/wiki/Universitato_de_Oksfordo
link,https://eu.wikipedia.org/wiki/Oxfordeko_Unibertsitatea
link,https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87_%D8%A2%DA%A9%D8%B3%D9%81%D9%88%D8%B1%D8%AF
link,https://fr.wikipedia.org/wiki/Universit%C3%A9_d%27Oxford
link,https://fy.wikipedia.org/wiki/Universiteit_fan_Oxford
link,https://ga.wikipedia.org/wiki/Ollscoil_Oxford
link,https://gd.wikipedia.org/wiki/Oilthigh_Oxford
link,https://gl.wikipedia.org/wiki/Universidade_de_Oxford
link,https://gu.wikipedia.org/wiki/%E0%AA%93%E0%AA%95%E0%AB%8D%E0%AA%B8%E0%AA%AB%E0%AB%8B%E0%AA%B0%E0%AB%8D%E0%AA%A1_%E0%AA%AF%E0%AB%81%E0%AA%A8%E0%AA%BF%E0%AA%B5%E0%AA%B0%E0%AB%8D%E0%AA%B8%E0%AA%BF%E0%AA%9F%E0%AB%80
link,https://hak.wikipedia.org/wiki/Oxford_Thai-ho%CC%8Dk
link,https://ko.wikipedia.org/wiki/%EC%98%A5%EC%8A%A4%ED%8D%BC%EB%93%9C_%EB%8C%80%ED%95%99%EA%B5%90
link,https://ha.wikipedia.org/wiki/Jami%27ar_Oxford
link,https://hy.wikipedia.org/wiki/%D5%95%D6%84%D5%BD%D6%86%D5%B8%D6%80%D5%A4%D5%AB_%D5%B0%D5%A1%D5%B4%D5%A1%D5%AC%D5%BD%D5%A1%D6%80%D5%A1%D5%B6
link,https://hi.wikipedia.org/wiki/%E0%A4%91%E0%A4%95%E0%A5%8D%E0%A4%B8%E0%A4%AB%E0%A4%BC%E0%A4%B0%E0%A5%8D%E0%A4%A1_%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%B5%E0%A4%BF%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B2%E0%A4%AF
link,https://hr.wikipedia.org/wiki/Sveu%C4%8Dili%C5%A1te_u_Oxfordu
link,https://id.wikipedia.org/wiki/Universitas_Oxford
link,https://ia.wikipedia.org/wiki/Universitate_de_Oxford
link,https://is.wikipedia.org/wiki/Oxford-h%C3%A1sk%C3%B3li
link,https://it.wikipedia.org/wiki/Universit%C3%A0_di_Oxford
link,https://he.wikipedia.org/wiki/%D7%90%D7%95%D7%A0%D7%99%D7%91%D7%A8%D7%A1%D7%99%D7%98%D7%AA_%D7%90%D7%95%D7%A7%D7%A1%D7%A4%D7%95%D7%A8%D7%93
link,https://jv.wikipedia.org/wiki/Universitas_Oxford
link,https://kbp.wikipedia.org/wiki/Oxford_sukuli_k%C9%A9t%C9%9Bz%CA%8A%CA%8A
link,https://ka.wikipedia.org/wiki/%E1%83%9D%E1%83%A5%E1%83%A1%E1%83%A4%E1%83%9D%E1%83%A0%E1%83%93%E1%83%98%E1%83%A1_%E1%83%A3%E1%83%9C%E1%83%98%E1%83%95%E1%83%94%E1%83%A0%E1%83%A1%E1%83%98%E1%83%A2%E1%83%94%E1%83%A2%E1%83%98
link,https://ks.wikipedia.org/wiki/%D8%A2%DA%A9%D8%B3%D9%81%D9%88%D8%B1%DA%88_%DB%8C%D9%88%D9%86%DB%8C%D9%88%D8%B1%D8%B3%D9%B9%DB%8C
link,https://kk.wikipedia.org/wiki/%D0%9E%D0%BA%D1%81%D1%84%D0%BE%D1%80%D0%B4_%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%D1%96
link,https://sw.wikipedia.org/wiki/Chuo_Kikuu_cha_Oxford
link,https://la.wikipedia.org/wiki/Universitas_Oxoniensis
link,https://lv.wikipedia.org/wiki/Oksfordas_Universit%C4%81te
link,https://lb.wikipedia.org/wiki/Universit%C3%A9it_vun_Oxford
link,https://lt.wikipedia.org/wiki/Oksfordo_universitetas
link,https://lfn.wikipedia.org/wiki/Universia_de_Oxford
link,https://hu.wikipedia.org/wiki/Oxfordi_Egyetem
link,https://mk.wikipedia.org/wiki/%D0%9E%D0%BA%D1%81%D1%84%D0%BE%D1%80%D0%B4%D1%81%D0%BA%D0%B8_%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D0%B7%D0%B8%D1%82%D0%B5%D1%82
link,https://ml.wikipedia.org/wiki/%E0%B4%93%E0%B4%95%E0%B5%8D%E0%B4%B8%E0%B5%8D%E0%B4%AB%E0%B4%A1%E0%B5%8D_%E0%B4%B8%E0%B5%BC%E0%B4%B5%E0%B4%95%E0%B4%B2%E0%B4%BE%E0%B4%B6%E0%B4%BE%E0%B4%B2
link,https://mr.wikipedia.org/wiki/%E0%A4%AF%E0%A5%81%E0%A4%A8%E0%A4%BF%E0%A4%B5%E0%A5%8D%E0%A4%B9%E0%A4%B0%E0%A5%8D%E0%A4%B8%E0%A4%BF%E0%A4%9F%E0%A5%80_%E0%A4%91%E0%A4%AB_%E0%A4%91%E0%A4%95%E0%A5%8D%E0%A4%B8%E0%A4%AB%E0%A4%B0%E0%A5%8D%E0%A4%A1
link,https://xmf.wikipedia.org/wiki/%E1%83%9D%E1%83%A5%E1%83%A1%E1%83%A4%E1%83%9D%E1%83%A0%E1%83%93%E1%83%98%E1%83%A8_%E1%83%A3%E1%83%9C%E1%83%98%E1%83%95%E1%83%94%E1%83%A0%E1%83%A1%E1%83%98%E1%83%A2%E1%83%94%E1%83%A2%E1%83%98
link,https://arz.wikipedia.org/wiki/%D8%AC%D8%A7%D9%85%D8%B9%D8%A9_%D8%A7%D9%88%D9%83%D8%B3%D9%81%D9%88%D8%B1%D8%AF
link,https://ms.wikipedia.org/wiki/Universiti_Oxford
link,https://mn.wikipedia.org/wiki/%D0%9E%D0%BA%D1%81%D1%84%D0%BE%D1%80%D0%B4%D1%8B%D0%BD_%D0%98%D1%85_%D0%A1%D1%83%D1%80%D0%B3%D1%83%D1%83%D0%BB%D1%8C
link,https://my.wikipedia.org/wiki/%E1%80%A1%E1%80%B1%E1%80%AC%E1%80%80%E1%80%BA%E1%80%85%E1%80%BA%E1%80%96%E1%80%AD%E1%80%AF%E1%80%92%E1%80%BA_%E1%80%90%E1%80%80%E1%80%B9%E1%80%80%E1%80%9E%E1%80%AD%E1%80%AF%E1%80%9C%E1%80%BA
link,https://nl.wikipedia.org/wiki/Universiteit_van_Oxford
link,https://ne.wikipedia.org/wiki/%E0%A4%85%E0%A4%95%E0%A5%8D%E0%A4%B8%E0%A4%AB%E0%A5%8B%E0%A4%B0%E0%A5%8D%E0%A4%A1_%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%B5%E0%A4%BF%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B2%E0%A4%AF
link,https://new.wikipedia.org/wiki/%E0%A4%85%E0%A4%95%E0%A5%8D%E0%A4%B8%E0%A4%AB%E0%A4%B0%E0%A5%8D%E0%A4%A1_%E0%A4%AF%E0%A5%82%E0%A4%A8%E0%A4%BF%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%B8%E0%A4%BF%E0%A4%9F%E0%A5%80
link,https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%83%E3%82%AF%E3%82%B9%E3%83%95%E3%82%A9%E3%83%BC%E3%83%89%E5%A4%A7%E5%AD%A6
link,https://no.wikipedia.org/wiki/University_of_Oxford
link,https://nn.wikipedia.org/wiki/University_of_Oxford
link,https://nrm.wikipedia.org/wiki/Unniv%C3%A8rsit%C3%A9_d%27Oxford
link,https://uz.wikipedia.org/wiki/Oxford_universiteti
link,https://pa.wikipedia.org/wiki/%E0%A8%86%E0%A8%95%E0%A8%B8%E0%A8%AB%E0%A8%BC%E0%A9%8B%E0%A8%B0%E0%A8%A1_%E0%A8%AF%E0%A9%82%E0%A8%A8%E0%A9%80%E0%A8%B5%E0%A8%B0%E0%A8%B8%E0%A8%BF%E0%A8%9F%E0%A9%80
link,https://pnb.wikipedia.org/wiki/%D8%A2%DA%A9%D8%B3%D9%81%D9%88%D8%B1%DA%88_%DB%8C%D9%88%D9%86%DB%8C%D9%88%D8%B1%D8%B3%D9%B9%DB%8C
link,https://pap.wikipedia.org/wiki/Universidat_di_Oxford
link,https://pms.wikipedia.org/wiki/Universit%C3%A0_d%27Oxford
link,https://nds.wikipedia.org/wiki/University_of_Oxford
link,https://pl.wikipedia.org/wiki/Uniwersytet_Oksfordzki
link,https://pt.wikipedia.org/wiki/Universidade_de_Oxford
link,https://kaa.wikipedia.org/wiki/Oksford_universiteti
link,https://ro.wikipedia.org/wiki/Universitatea_Oxford
link,https://qu.wikipedia.org/wiki/Oxford_Yachay_Suntur
link,https://ru.wikipedia.org/wiki/%D0%9E%D0%BA%D1%81%D1%84%D0%BE%D1%80%D0%B4%D1%81%D0%BA%D0%B8%D0%B9_%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82
link,https://sc.wikipedia.org/wiki/Universidade_de_Oxford
link,https://sco.wikipedia.org/wiki/Varsity_o_Oxford
link,https://sq.wikipedia.org/wiki/Universiteti_i_Oksfordit
link,https://scn.wikipedia.org/wiki/Univirsitati_di_Oxford
link,https://si.wikipedia.org/wiki/%E0%B6%94%E0%B6%9A%E0%B7%8A%E0%B7%83%E0%B7%8A%E0%B7%86%E0%B6%BB%E0%B7%8A%E0%B6%A9%E0%B7%8A_%E0%B7%80%E0%B7%92%E0%B7%81%E0%B7%8A%E0%B7%80%E0%B7%80%E0%B7%92%E0%B6%AF%E0%B7%8A%E2%80%8D%E0%B6%BA%E0%B7%8F%E0%B6%BD%E0%B6%BA
link,https://simple.wikipedia.org/wiki/University_of_Oxford
link,https://sd.wikipedia.org/wiki/%D8%A2%DA%AA%D8%B3%D9%81%D9%88%D8%B1%DA%8A_%D9%8A%D9%88%D9%86%D9%8A%D9%88%D8%B1%D8%B3%D9%BD%D9%8A
link,https://sk.wikipedia.org/wiki/University_of_Oxford
link,https://sl.wikipedia.org/wiki/Univerza_v_Oxfordu
link,https://so.wikipedia.org/wiki/Jaamacadda_Oxford
link,https://ckb.wikipedia.org/wiki/%D8%B2%D8%A7%D9%86%DA%A9%DB%86%DB%8C_%D8%A6%DB%86%DA%A9%D8%B3%D9%81%DB%86%D8%B1%D8%AF
link,https://sr.wikipedia.org/wiki/%D0%A3%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D0%B7%D0%B8%D1%82%D0%B5%D1%82_%D1%83_%D0%9E%D0%BA%D1%81%D1%84%D0%BE%D1%80%D0%B4%D1%83
link,https://sh.wikipedia.org/wiki/Univerzitet_u_Oxfordu
link,https://fi.wikipedia.org/wiki/Oxfordin_yliopisto
link,https://sv.wikipedia.org/wiki/Oxfords_universitet
link,https://tl.wikipedia.org/wiki/Unibersidad_ng_Oxford
link,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%95%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%AA%E0%AF%8B%E0%AE%B0%E0%AF%8D%E0%AE%9F%E0%AF%81_%E0%AE%AA%E0%AE%B2%E0%AF%8D%E0%AE%95%E0%AE%B2%E0%AF%88%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%B4%E0%AE%95%E0%AE%AE%E0%AF%8D
link,https://kab.wikipedia.org/wiki/Tasdawit_n_Oksford
link,https://tt.wikipedia.org/wiki/%D0%9E%D0%BA%D1%81%D1%84%D0%BE%D1%80%D0%B4_%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%D1%8B
link,https://te.wikipedia.org/wiki/%E0%B0%86%E0%B0%95%E0%B1%8D%E0%B0%B8%E0%B1%8D%E2%80%8C%E0%B0%AB%E0%B0%B0%E0%B1%8D%E0%B0%A1%E0%B1%8D_%E0%B0%B5%E0%B0%BF%E0%B0%B6%E0%B1%8D%E0%B0%B5%E0%B0%B5%E0%B0%BF%E0%B0%A6%E0%B1%8D%E0%B0%AF%E0%B0%BE%E0%B0%B2%E0%B0%AF%E0%B0%82
link,https://th.wikipedia.org/wiki/%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2%E0%B8%AD%E0%B8%AD%E0%B8%81%E0%B8%8B%E0%B8%9F%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94
link,https://tg.wikipedia.org/wiki/%D0%94%D0%BE%D0%BD%D0%B8%D1%88%D0%B3%D0%BE%D2%B3%D0%B8_%D0%9E%D0%BA%D1%81%D1%84%D0%BE%D1%80%D0%B4
link,https://tr.wikipedia.org/wiki/Oxford_%C3%9Cniversitesi
link,https://tk.wikipedia.org/wiki/Oksford_uniwersiteti
link,https://tw.wikipedia.org/wiki/University_of_Oxford
link,https://uk.wikipedia.org/wiki/%D0%9E%D0%BA%D1%81%D1%84%D0%BE%D1%80%D0%B4%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D1%83%D0%BD%D1%96%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82
link,https://ur.wikipedia.org/wiki/%D8%AC%D8%A7%D9%85%D8%B9%DB%81_%D8%A7%D9%88%DA%A9%D8%B3%D9%81%D8%B1%DA%88
link,https://ug.wikipedia.org/wiki/%D8%A6%D9%88%D9%83%D8%B3%D9%81%D9%88%D8%B1%D8%AF_%D8%A6%DB%87%D9%86%D9%89%DB%8B%DB%90%D8%B1%D8%B3%D9%89%D8%AA%DB%90%D8%AA%D9%89
link,https://vec.wikipedia.org/wiki/Universit%C3%A0_de_Oxford
link,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Oxford
link,https://war.wikipedia.org/wiki/Unibersidad_han_Oxford
link,https://wuu.wikipedia.org/wiki/%E7%89%9B%E6%B4%A5%E5%A4%A7%E5%AD%A6
link,https://yi.wikipedia.org/wiki/%D7%90%D7%95%D7%A0%D7%99%D7%95%D7%95%D7%A2%D7%A8%D7%A1%D7%99%D7%98%D7%A2%D7%98_%D7%A4%D7%95%D7%9F_%D7%90%D7%A7%D7%A1%D7%A4%D7%90%D7%A8%D7%93
link,https://yo.wikipedia.org/wiki/Yunif%C3%A1s%C3%ADt%C3%AC_%C3%ACl%C3%BA_Oxford
link,https://zh-yue.wikipedia.org/wiki/%E7%89%9B%E6%B4%A5%E5%A4%A7%E5%AD%B8
link,https://diq.wikipedia.org/wiki/Univers%C4%B1tey_Oksfordi
link,https://zh.wikipedia.org/wiki/%E7%89%9B%E6%B4%A5%E5%A4%A7%E5%AD%A6
link,https://bew.wikipedia.org/wiki/Uniwersit%C3%A8t_Oksped
link,https://www.wikidata.org/wiki/Special:EntityPage/Q34433#sitelinks-wikipedia
link,/wiki/University_of_Oxford
link,/wiki/Talk:University_of_Oxford
link,/wiki/University_of_Oxford
link,/w/index.php?title=University_of_Oxford&action=edit
link,/w/index.php?title=University_of_Oxford&action=history
link,/wiki/University_of_Oxford
link,/w/index.php?title=University_of_Oxford&action=edit
link,/w/index.php?title=University_of_Oxford&action=history
link,/wiki/Special:WhatLinksHere/University_of_Oxford
link,/wiki/Special:RecentChangesLinked/University_of_Oxford
link,/wiki/Wikipedia:File_Upload_Wizard
link,/wiki/Special:SpecialPages
link,/w/index.php?title=University_of_Oxford&oldid=1227656269
link,/w/index.php?title=University_of_Oxford&action=info
link,/w/index.php?title=Special:CiteThisPage&page=University_of_Oxford&id=1227656269&wpFormIdentifier=titleform
link,/w/index.php?title=Special:UrlShortener&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FUniversity_of_Oxford
link,/w/index.php?title=Special:QrCode&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FUniversity_of_Oxford
link,https://www.wikidata.org/wiki/Special:EntityPage/Q34433
link,/w/index.php?title=Special:DownloadAsPdf&page=University_of_Oxford&action=show-download-screen
link,/w/index.php?title=University_of_Oxford&printable=yes
link,https://commons.wikimedia.org/wiki/Category:University_of_Oxford
link,https://en.wikinews.org/wiki/Category:University_of_Oxford
link,https://en.wikiquote.org/wiki/University_of_Oxford
link,https://en.wikisource.org/wiki/Portal:University_of_Oxford
link,/wiki/Geographic_coordinate_system
link,https://geohack.toolforge.org/geohack.php?pagename=University_of_Oxford&params=51_45_18_N_01_15_18_W_type:edu
link,/wiki/Oxford_University_(disambiguation)
link,/wiki/File:Arms_of_University_of_Oxford.svg
link,/wiki/Coat_of_arms_of_the_University_of_Oxford
link,/wiki/Latin_language
link,#cite_note-1
link,/wiki/Latin_language
link,/wiki/Dominus_illuminatio_mea
link,/wiki/Psalm_27
link,/wiki/Public_university
link,/wiki/Research_university
link,/wiki/Ancient_university
link,#cite_note-OxHist-2
link,/wiki/Financial_endowment
link,/wiki/%C2%A3
link,#cite_note-5
link,#cite_note-OxUni2023-4
link,/wiki/Chancellor_(education)
link,/wiki/Chris_Patten
link,/wiki/Vice-Chancellor
link,/wiki/Irene_Tracey
link,#cite_note-VCapproval-6
link,#cite_note-7
link,#cite_note-8
link,#cite_note-Student_Numbers-9
link,/wiki/Undergraduate_education
link,/wiki/Postgraduate_education
link,/wiki/Oxford
link,https://geohack.toolforge.org/geohack.php?pagename=University_of_Oxford&params=51_45_18_N_01_15_18_W_type:edu
link,/wiki/University_town
link,/wiki/School_colors
link,#cite_note-10
link,/wiki/Association_of_Commonwealth_Universities
link,/wiki/European_University_Association
link,/wiki/Europaeum
link,/wiki/International_Alliance_of_Research_Universities
link,/wiki/LERU
link,/wiki/Russell_Group
link,/wiki/SES_(universities)
link,/wiki/Universities_UK
link,https://ox.ac.uk/
link,https://www.wikidata.org/wiki/Q34433#P856
link,/wiki/File:University_of_Oxford.svg
link,/wiki/Collegiate_university
link,/wiki/Research_university
link,/wiki/Oxford
link,#cite_note-OxHist-2
link,/wiki/English-speaking_world
link,/wiki/List_of_oldest_universities_in_continuous_operation
link,#cite_note-OxHist-2
link,#cite_note-11
link,#cite_note-12
link,/wiki/Henry_II_of_England
link,/wiki/University_of_Paris
link,#cite_note-OxHist-2
link,/wiki/Cambridge
link,/wiki/University_of_Cambridge
link,#cite_note-Early_records-13
link,/wiki/Ancient_university
link,/wiki/Oxbridge
link,#cite_note-14
link,/wiki/Colleges_of_the_University_of_Oxford
link,/wiki/Permanent_private_hall
link,/wiki/Divisions_of_the_University_of_Oxford
link,#cite_note-15
link,#cite_note-CollegesandHalls-16
link,/wiki/Undergraduate_education
link,/wiki/Tutorial_system
link,/wiki/Postgraduate_education
link,/wiki/Ashmolean_Museum
link,/wiki/University_museum
link,/wiki/Oxford_University_Press
link,/wiki/University_press
link,#cite_note-uls-17
link,#cite_note-OxUni2023-4
link,/wiki/List_of_Prime_Ministers_of_the_United_Kingdom_by_education
link,#cite_note-Famous-18
link,https://en.wikipedia.org/w/index.php?title=University_of_Oxford&action=edit
link,/wiki/Nobel_Prize_laureate
link,/wiki/Fields_Medalists
link,/wiki/Turing_Award
link,/wiki/Olympic_medal
link,#cite_note-olympics-19
link,/wiki/Rhodes_Scholarship
link,/w/index.php?title=University_of_Oxford&action=edit&section=1
link,/wiki/Timeline_of_Oxford
link,/wiki/File:Mob_Quad_from_Chapel_Tower.jpg
link,"/wiki/Merton_College,_Oxford"
link,/wiki/Mob_Quad
link,/wiki/Quadrangle_(architecture)
link,"/wiki/File:John_Speed%27s_map_of_Oxford,_1605..jpg"
link,/w/index.php?title=University_of_Oxford&action=edit&section=2
link,/wiki/File:Oxford_-_Balliol_College_-_geograph.org.uk_-_1329613.jpg
link,"/wiki/Balliol_College,_Oxford"
link,#cite_note-Preface-20
link,/wiki/Ranulf_Higden
link,/wiki/Alfred_the_Great
link,#cite_note-21
link,#cite_note-OxHist-2
link,/wiki/Theobald_of_%C3%89tampes
link,/wiki/University_of_Paris
link,#cite_note-OxHist-2
link,/wiki/Gerald_of_Wales
link,/wiki/Emo_of_Friesland
link,/wiki/Chancellor_(education)
